e,p
2.5301015017711235e-06,6.0409063857632796e-09
2.543998284477194e-06,6.096080342963033e-09
2.5579460419177273e-06,6.1516561885390965e-09
2.5719448690584376e-06,6.2076361073909794e-09
2.5859948608769073e-06,6.264022292357159e-09
2.6000961123626866e-06,6.320816944109053e-09
2.6142487185173243e-06,6.3780222711112545e-09
2.6284527743543273e-06,6.435640489807088e-09
2.6427083748992197e-06,6.4936738244198e-09
2.657015615189613e-06,6.552124507164622e-09
2.671374590275078e-06,6.610994778102977e-09
2.685785395217311e-06,6.670286885261763e-09
2.700248125090157e-06,6.730003084620102e-09
2.714762874979467e-06,6.790145640056321e-09
2.7293297399833195e-06,6.850716823467239e-09
2.743948815211921e-06,6.911718914728403e-09
2.758620195787654e-06,6.973154201707346e-09
2.7733439768451268e-06,7.035024980197312e-09
2.7881202535311355e-06,7.097333554142575e-09
2.8029491210047426e-06,7.160082235479392e-09
2.817830674437266e-06,7.223273344109495e-09
2.8327650090123106e-06,7.286909208125405e-09
2.847752219925807e-06,7.350992163598371e-09
2.8627924023859723e-06,7.41552455471091e-09
2.8778856516133985e-06,7.480508733783315e-09
2.893032062841084e-06,7.545947061194125e-09
2.9082317313143123e-06,7.611841905486166e-09
2.923484752290893e-06,7.678195643340034e-09
2.9387912210409997e-06,7.745010659560848e-09
2.9541512328472626e-06,7.812289347184275e-09
2.9695648830048265e-06,7.88003410735725e-09
2.9850322668212905e-06,7.948247349430746e-09
3.0005534796167895e-06,8.016931491039306e-09
3.0161286167239623e-06,8.086088957928738e-09
3.031757773488093e-06,8.155722184128414e-09
3.047441045266929e-06,8.225833611938016e-09
3.0631785274308927e-06,8.296425691914283e-09
3.078970315363001e-06,8.367500882831253e-09
3.0948165044589345e-06,8.439061651773034e-09
3.110717190126988e-06,8.511110474213329e-09
3.1266724677881792e-06,8.58364983379012e-09
3.14268243287626e-06,8.65668222254424e-09
3.1587471808376165e-06,8.73021014089286e-09
3.1748668071314572e-06,8.80423609753672e-09
3.191041407229725e-06,8.8787626095794e-09
3.207271076617155e-06,8.953792202487577e-09
3.2235559107913146e-06,9.02932741014402e-09
3.2398960052625467e-06,9.105370774821096e-09
3.2562914555541146e-06,9.181924847167518e-09
3.272742357202076e-06,9.258992186340865e-09
3.2892488057554595e-06,9.33657535991483e-09
3.3058108967760972e-06,9.414676943905708e-09
3.3224287258389434e-06,9.493299522785655e-09
3.339102388531664e-06,9.572445689588725e-09
3.355831980455097e-06,9.652118045725312e-09
3.3726175972229635e-06,9.732319201273724e-09
3.3894593344620654e-06,9.813051774675367e-09
3.4063572878122257e-06,9.894318392986549e-09
3.4233115529263105e-06,9.97612169183872e-09
3.440322225470275e-06,1.0058464315385469e-08
3.4573894011231197e-06,1.0141348916382034e-08
3.474513175577111e-06,1.0224778156119039e-08
3.4916936445375205e-06,1.0308754704568281e-08
3.5089309037228286e-06,1.0393281240263456e-08
3.526225048864668e-06,1.0478360450406177e-08
3.5435761757079907e-06,1.0563995030773201e-08
3.5609843800108e-06,1.0650187685862227e-08
