e,p
1.0,3.4737449436397657e-26
1.0,3.5253182945239734e-26
1.0,3.5776573350499596e-26
1.0,3.6307734331163475e-26
1.0,3.6846781253966826e-26
1.0,3.739383119844932e-26
1.0,3.7949002982386263e-26
1.0,3.851241718759467e-26
1.0,3.908419618612231e-26
1.0,3.966446416682879e-26
1.0,4.025334716235653e-26
1.0,4.085097307650726e-26
1.0,4.1457471712019773e-26
1.0,4.2072974798765055e-26
1.0,4.269761602235667e-26
1.0,4.3331531053185856e-26
1.0,4.397485757589087e-26
1.0,4.462773531926065e-26
1.0,4.529030608658286e-26
1.0,4.596271378644383e-26
1.0,4.6645104463985894e-26
1.0,4.7337626332627277e-26
1.0,4.80404298062525e-26
1.0,4.875366753188413e-26
1.0,4.94774944228362e-26
1.0,5.0212067692360147e-26
1.0,5.095754688779189e-26
1.0,5.171409392520589e-26
1.0,5.248187312458213e-26
1.0,5.326105124549463e-26
1.0,5.405179752333375e-26
1.0,5.485428370606245e-26
1.0,5.566868409151848e-26
1.0,5.649517556527238e-26
1.0,5.733393763904736e-26
1.0,5.818515248970801e-26
1.0,5.904900499882706e-26
1.0,5.992568279284406e-26
1.0,6.081537628381594e-26
1.0,6.171827871077298e-26
1.0,6.263458618169076e-26
1.0,6.356449771608534e-26
1.0,6.450821528823874e-26
1.0,6.546594387106566e-26
1.0,6.643789148063617e-26
1.0,6.742426922135465e-26
1.0,6.842529133181007e-26
1.0,6.944117523130902e-26
1.0,7.04721415670998e-26
1.0,7.151841426229525e-26
1.0,7.258022056450659e-26
1.0,7.365779109520433e-26
1.0,7.4751359899807e-26
1.0,7.586116449851398e-26
1.0,7.698744593789537e-26
1.0,7.813044884324793e-26
1.0,7.929042147172585e-26
1.0,8.046761576625953e-26
1.0,8.166228741028086e-26
1.0,8.287469588325495e-26
1.0,8.41051045170364e-26
1.0,8.535378055306901e-26
1.0,8.662099520042442e-26
1.0,8.790702369471345e-26
1.0,8.921214535786108e-26
1.0,9.053664365877922e-26
1.0,9.188080627493343e-26
1.0,9.32449251548233e-26
1.0,9.462929658139823e-26
1.0,9.603422123640315e-26
1.0,9.746000426569196e-26
1.0,9.890695534549815e-26
1.0,1.0037538874970117e-25
1.0,1.0186562341808353e-25
1.0,1.0337798302560115e-25
1.0,1.0491279605269045e-25
1.0,1.0647039585660681e-25
1.0,1.0805112074383551e-25
1.0,1.096553140435643e-25
1.0,1.1128332418225949e-25
1.0,1.1293550475934075e-25
1.0,1.1461221462397914e-25
1.0,1.1631381795304463e-25
1.0,1.1804068433019688e-25
1.0,1.197931888261654e-25
1.0,1.215717120802062e-25
1.0,1.2337664038278235e-25
1.0,1.2520836575946254e-25
1.0,1.2706728605606465e-25
1.0,1.2895380502507407e-25
1.0,1.3086833241332942e-25
1.0,1.3281128405102669e-25
1.0,1.347830819420281e-25
1.0,1.3678415435552763e-25
1.0,1.3881493591906684e-25
1.0,1.408758677129312e-25
1.0,1.4296739736595965e-25
1.0,1.4508997915275912e-25
1.0,1.4724407409238106e-25
1.0,1.4943015004844413e-25
1.0,1.5164868183076124e-25
1.0,1.539001512984634e-25
1.0,1.561850474646545e-25
1.0,1.5850386660263236e-25
1.0,1.608571123536678e-25
1.0,1.6324529583640453e-25
1.0,1.656689357578622e-25
1.0,1.6812855852610753e-25
1.0,1.7062469836458464e-25
1.0,1.7315789742814296e-25
1.0,1.7572870592080134e-25
1.0,1.7833768221523967e-25
1.0,1.8098539297408743e-25
1.0,1.8367241327298955e-25
1.0,1.8639932672552175e-25
1.0,1.8916672560994534e-25
1.0,1.9197521099784374e-25
1.0,1.9482539288468456e-25
1.0,1.977178903222965e-25
1.0,2.0065333155333818e-25
1.0,2.0363235414773815e-25
